"prey","n.samples.x","fo.number.x","fo.number.LCL.x","fo.number.UCL.x","fo.percent.x","fo.percent.LCL.x","fo.percent.UCL.x","n.preyitems.x","na.number.x","na.number.LCL.x","na.number.UCL.x","na.percent.x","na.percent.LCL.x","na.percent.UCL.x","na.weighted.x","na.weighted.LCL.x","na.weighted.UCL.x","rank.fo.x","rank.na.x","rank.fo.inv.x","rank.na.inv.x","cum.fo.x","cum.na.x","fo.prim.x","na.prim.x","n.samples.y","fo.number.y","fo.number.LCL.y","fo.number.UCL.y","fo.percent.y","fo.percent.LCL.y","fo.percent.UCL.y","n.preyitems.y","na.number.y","na.number.LCL.y","na.number.UCL.y","na.percent.y","na.percent.LCL.y","na.percent.UCL.y","na.weighted.y","na.weighted.LCL.y","na.weighted.UCL.y","rank.fo.y","rank.na.y","rank.fo.inv.y","rank.na.inv.y","cum.fo.y","cum.na.y","fo.prim.y","na.prim.y"
"Protomyctophum bolini",504,5,1,10,0.992063492063492,0.198412698412698,1.98412698412698,9273,8,1,17,0.0862719723929688,0.0108968464035761,0.181513972984002,0.0746244939252602,0.0146972369194591,0.158105511763318,11,11,18,16,318.849206349206,99.4500161759948,"non-primary","non-primary",386,5,1,9,1.29533678756477,0.259067357512953,2.33160621761658,5992,6,1,12,0.100133511348465,0.0194449318169076,0.205715392989164,0.383887868740002,0.0201971553083562,0.994074256215852,9,7,17,19,266.321243523316,99.8331108144192,"non-primary","non-primary"
"Protomyctophum choriodon",504,46,34,59,9.12698412698413,6.74603174603175,11.7063492063492,9273,133,76.475,224,1.43427154103311,0.837922454903587,2.32329994717641,1.37742402283538,0.86220773598375,2.05538359158399,20,20,8,8,293.452380952381,97.2285128868759,"non-primary","non-primary",386,24,15,34,6.21761658031088,3.8860103626943,8.80829015544041,5992,80,30,148.525,1.33511348464619,0.509893904514063,2.5022733293952,0.877763754346028,0.41674055341594,1.46423133322907,16,18,10,8,241.709844559585,94.6261682242991,"non-primary","non-primary"
"Protomyctophum tenisoni",504,195,176,216,38.6904761904762,34.9206349206349,42.8571428571429,9273,2246,1816.375,2712.25,24.220856249326,20.1709822060207,28.2450107030834,18.9201424188944,16.2331890536761,21.6999796381512,24,27,4,1,231.547619047619,24.220856249326,"primary","primary",386,135,117.475,153.525,34.9740932642487,30.4339378238342,39.7733160621762,5992,1547,1104.8,2080.525,25.8177570093458,19.2705415437803,32.433663130867,16.5296474541183,13.6954571708729,19.5602942533057,22,24,4,2,173.575129533679,53.8551401869159,"primary","primary"
"Scopelosaurus ahlstromi",504,38,28,50,7.53968253968254,5.55555555555556,9.92063492063492,9273,58,39.475,79,0.625471799849024,0.417094957613101,0.861746600109361,0.728757733395057,0.464241191130939,1.02494629732731,19,19,9,9,300.992063492063,97.8539846867249,"non-primary","non-primary",386,3,1,7.52499999999998,0.77720207253886,0.259067357512953,1.94948186528497,5992,7,1,19,0.116822429906542,0.0152475186497407,0.31682741127496,0.0549444562661997,0.0060248222677431,0.1559123055072,8,8,18,18,267.098445595855,99.7329773030708,"non-primary","non-primary"
"Sternoptychidae",504,5,1,9,0.992063492063492,0.198412698412698,1.78571428571429,9273,6,1,12,0.0647039792947266,0.0114311048366645,0.125152795756548,0.135179583708995,0.0129585515614927,0.354781060663414,10,9,17,19,317.857142857143,99.6764801035264,"non-primary","non-primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Symbolophorus boops",504,18,10.475,26.525,3.57142857142857,2.07837301587302,5.26289682539682,9273,35,18.475,54,0.377439879219239,0.199925289075024,0.585846920187496,0.634328983857135,0.317159965280953,1.03480064917869,17,17,11,11,308.730158730159,98.6735684244581,"non-primary","non-primary",386,24,15,33,6.21761658031088,3.8860103626943,8.54922279792746,5992,59,33,90,0.984646194926569,0.54195710131512,1.48686668803756,0.79941344523256,0.409978782573649,1.31529649980482,15,16,11,10,247.927461139896,96.6455273698264,"non-primary","non-primary"
"Crustacean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,27,18,38,6.99481865284974,4.66321243523316,9.84455958549223,5992,27,18,38,0.450600801068091,0.297712607544672,0.673700071083955,6.99481865284974,4.66321243523316,9.84455958549223,17,13,9,13,235.492227979275,98.4145527369826,"non-primary","non-primary"
"Electrona sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,1,0,3.52499999999998,0.259067357512953,0,0.914171320907066,5992,1,0,3.52499999999998,0.0166889185580774,0,0.0624198266900245,0.0117757889778615,0,0.0415532418594121,3,3,24,24,269.689119170984,99.9833110814419,"non-primary","non-primary"
"Lepidonotothen larseni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,1,0,3,0.259067357512953,0,0.77720207253886,5992,2,0,6,0.0333778371161549,0,0.106556848405985,0.259067357512953,0,0.77720207253886,1,4,22,21,269.170984455959,99.9165554072096,"non-primary","non-primary"
"Penguin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,46,33,57.525,11.9170984455959,8.54922279792746,14.9028497409326,5992,46,33,57.525,0.767690253671562,0.512871377811099,1.04863990461377,11.9170984455959,8.54922279792746,14.9028497409326,20,15,6,11,208.80829015544,97.413217623498,"non-primary","non-primary"
