"prey","n.samples","fo.number","fo.number.LCL","fo.number.UCL","fo.percent","fo.percent.LCL","fo.percent.UCL","n.preyitems","na.number","na.number.LCL","na.number.UCL","na.percent","na.percent.LCL","na.percent.UCL","na.weighted","na.weighted.LCL","na.weighted.UCL","rank.fo","rank.na","rank.fo.inv","rank.na.inv","cum.fo","cum.na","fo.prim","na.prim"
"Penguin",661,54,40,68,8.16944024205749,6.06037683949938,10.2874432677761,9061,54,40,68,0.595960710738329,0.428212040559116,0.791163730994195,8.16944024205749,6.06037683949938,10.2874432677761,20,16,9,13,224.205748865356,97.9141375124158,"non-primary","non-primary"
"Notothenia squamifrons",661,10,4,16,1.51285930408472,0.605143721633888,2.42057488653555,9061,49,12,100,0.540779163447743,0.129178921629616,1.10615757069381,1.18306743684959,0.406989238069041,2.01897234447348,12,15,17,14,257.639939485628,98.4549166758636,"non-primary","non-primary"
"Cephalopod",661,31,21,42,4.68986384266263,3.17700453857791,6.35400907715582,9061,33,22,46,0.364198212117868,0.240303396214719,0.518679171557933,4.68986384266263,3.17700453857791,6.35400907715582,15,14,14,15,252.647503782148,98.8191148879815,"non-primary","non-primary"
"Gymnoscopelus sp.",661,12,6,19,1.81543116490166,0.907715582450832,2.87443267776097,9061,20,7.975,36.025,0.220726189162344,0.0848834846018193,0.412977697694224,0.646591626942868,0.181886851838796,1.16438164076163,14,13,15,16,254.46293494705,99.0398410771438,"non-primary","non-primary"
"Dissostichus eleginoides",661,8,3,14,1.21028744326778,0.453857791225416,2.11800302571861,9061,16,6,31,0.176580951329875,0.0645285748734025,0.329032277481571,0.101670546629495,0.0168645371842619,0.215380426224398,9,12,19,17,260.211800302572,99.2164220284737,"non-primary","non-primary"
"Protomyctophum bolini",661,11,5,18,1.66414523449319,0.75642965204236,2.7231467473525,9061,16,7,27,0.176580951329875,0.0735063723449322,0.30232085362736,0.458373445419669,0.0854478193671242,0.999113056500466,13,11,16,18,256.127080181543,99.3930029798036,"non-primary","non-primary"
"Krefftichthys anderssoni",661,9,4,15,1.36157337367625,0.605143721633888,2.26928895612708,9061,15,5,27,0.165544641871758,0.060045886468483,0.299663510924797,0.112086648451488,0.0338399319693078,0.220698352193542,11,10,18,19,259.001512859304,99.5585476216753,"non-primary","non-primary"
"Scopelosaurus ahlstromi",661,7,2,12.025,1.0590015128593,0.302571860816944,1.81921331316187,9061,12,3,22,0.132435713497406,0.0351874282799949,0.246666852012994,0.0662066166929337,0.0172636351307955,0.124947674922407,8,9,21,20,262.481089258699,99.6909833351727,"non-primary","non-primary"
"Paralepis atlantica",661,8,3,14,1.21028744326778,0.453857791225416,2.11800302571861,9061,11,4,20,0.121399404039289,0.0422850226473099,0.219280025165543,0.119538070909898,0.0385277374909839,0.223551268052934,10,8,20,21,261.42208774584,99.812382739212,"non-primary","non-primary"
"Sternoptychidae",661,3,0,7,0.453857791225416,0,1.0590015128593,9061,5,0,13,0.055181547290586,0,0.14312076114231,0.316325127217714,0,0.77018291844313,7,7,23,22,263.38880484115,99.8675642865026,"non-primary","non-primary"
"Lampichthys procerus",661,3,0,7,0.453857791225416,0,1.0590015128593,9061,4,0,10,0.0441452378324688,0,0.108055884829044,0.0745305686571149,0,0.208018154311649,6,6,22,23,262.934947049924,99.9117095243351,"non-primary","non-primary"
"Lepidonotothen larseni",661,2,0,5,0.302571860816944,0,0.75642965204236,9061,3,0,8,0.0331089283743516,0,0.0932874799982616,0.201714573877963,0,0.605143721633888,4,5,25,24,263.993948562784,99.9448184527094,"non-primary","non-primary"
"Electrona sp.",661,2,0,5,0.302571860816944,0,0.75642965204236,9061,2,0,5,0.0220726189162344,0,0.0549510443540678,0.0825195984046211,0,0.240682162013478,5,4,24,25,263.691376701967,99.9668910716257,"non-primary","non-primary"
"Maurolicus muelleri",661,1,0,3,0.151285930408472,0,0.453857791225416,9061,1,0,3,0.0110363094581172,0,0.0346263594131038,0.0094553706505295,0,0.0283661119515885,2,1,27,26,264.296520423601,99.9779273810838,"non-primary","non-primary"
"Bathylagus sp.",661,1,0,3,0.151285930408472,0,0.453857791225416,9061,1,0,3,0.0110363094581172,0,0.0348065739669456,0.00540306894315971,0,0.0162092068294791,1,2,28,27,264.447806354009,99.9889636905419,"non-primary","non-primary"
"Gymnoscopelus braueri",661,1,0,3,0.151285930408472,0,0.453857791225416,9061,1,0,3,0.0110363094581172,0,0.0360303587880555,0.0108061378863194,0,0.0324184136589583,3,3,26,28,264.145234493192,100,"non-primary","non-primary"
