"prey","n.samples.x","fo.number.x","fo.number.LCL.x","fo.number.UCL.x","fo.percent.x","fo.percent.LCL.x","fo.percent.UCL.x","n.preyitems.x","na.number.x","na.number.LCL.x","na.number.UCL.x","na.percent.x","na.percent.LCL.x","na.percent.UCL.x","na.weighted.x","na.weighted.LCL.x","na.weighted.UCL.x","rank.fo.x","rank.na.x","rank.fo.inv.x","rank.na.inv.x","cum.fo.x","cum.na.x","fo.prim.x","na.prim.x","n.samples.y","fo.number.y","fo.number.LCL.y","fo.number.UCL.y","fo.percent.y","fo.percent.LCL.y","fo.percent.UCL.y","n.preyitems.y","na.number.y","na.number.LCL.y","na.number.UCL.y","na.percent.y","na.percent.LCL.y","na.percent.UCL.y","na.weighted.y","na.weighted.LCL.y","na.weighted.UCL.y","rank.fo.y","rank.na.y","rank.fo.inv.y","rank.na.inv.y","cum.fo.y","cum.na.y","fo.prim.y","na.prim.y"
"Gymnoscopelus braueri",750,6,2,11,0.8,0.266666666666667,1.46666666666667,13654,10,2,21,0.0732386113959279,0.0144788781814702,0.153853211009174,0.0806723201650738,0.0141089640365003,0.170695964998501,11,12,21,21,329.733333333333,99.7216932766955,"non-primary","non-primary",661,1,0,3,0.151285930408472,0,0.453857791225416,9061,1,0,3,0.0110363094581172,0,0.0360303587880555,0.0108061378863194,0,0.0324184136589583,3,3,26,28,264.145234493192,100,"non-primary","non-primary"
"Gymnoscopelus fraseri",750,315,288,342,42,38.4,45.6,13654,2301,1908.95,2758.2,16.852204482203,14.1036425669361,19.859386158444,13.6314651402998,11.950296040465,15.3761437400961,29,28,3,4,188.666666666667,81.29485864948,"primary","primary",661,213,188,236,32.2239031770045,28.4417549167927,35.7034795763994,9061,1198,969,1441.025,13.2214987308244,11.0888712629942,15.4544998780963,9.35676134841724,8.06277292211462,10.7119987837976,25,25,4,4,156.42965204236,75.1683037192363,"primary","primary"
"Gymnoscopelus nicholsi",750,520,497,545,69.3333333333333,66.2666666666667,72.6666666666667,13654,2900,2604,3238.05,21.2391973048191,19.3709197934737,23.2992446504036,19.652070759699,18.1617982911994,21.3811071250832,30,30,2,2,146.666666666667,47.4073531565842,"primary","primary",661,290,266,316,43.8729198184569,40.2420574886536,47.8081648558199,9061,1550,1301.975,1820.025,17.1062796600817,14.9165435744141,19.543363246892,13.066618338762,11.545997226519,14.7192640749402,27,26,2,3,91.5279878971256,61.9468049884119,"primary","primary"
"Gymnoscopelus piabilis",750,580,557.975,602,77.3333333333333,74.3966666666667,80.2666666666667,13654,3573,3269.975,3897.025,26.1681558517651,23.9178307068455,28.396277453743,32.5440151106212,30.3230560731072,34.8338412456231,31,31,1,1,77.3333333333333,26.1681558517651,"primary","primary",661,315,288,340,47.6550680786687,43.5703479576399,51.4372163388805,9061,2349,1930.95,2849.1,25.9242909171173,22.4979577023796,29.2938916362365,19.7317877564159,17.521340490876,21.8637347872534,28,28,1,1,47.6550680786687,25.9242909171173,"primary","primary"
"Gymnoscopelus sp.",750,11,5,18,1.46666666666667,0.666666666666667,2.4,13654,19,9,32,0.139153361652263,0.0644586285988495,0.23544018903794,0.461418372477196,0.114182633053221,0.901627034403505,18,18,16,14,324.4,99.0771934964113,"non-primary","non-primary",661,12,6,19,1.81543116490166,0.907715582450832,2.87443267776097,9061,20,7.975,36.025,0.220726189162344,0.0848834846018193,0.412977697694224,0.646591626942868,0.181886851838796,1.16438164076163,14,13,15,16,254.46293494705,99.0398410771438,"non-primary","non-primary"
"Krefftichthys anderssoni",750,11,5,18,1.46666666666667,0.666666666666667,2.4,13654,15,6,27,0.109857917093892,0.0446084755793376,0.199350407330472,0.0875268246909653,0.0332077590610205,0.160382760222095,17,16,14,16,321.466666666667,99.3188809140179,"non-primary","non-primary",661,9,4,15,1.36157337367625,0.605143721633888,2.26928895612708,9061,15,5,27,0.165544641871758,0.060045886468483,0.299663510924797,0.112086648451488,0.0338399319693078,0.220698352193542,11,10,18,19,259.001512859304,99.5585476216753,"non-primary","non-primary"
"Lampichthys procerus",750,9,4,15,1.2,0.533333333333333,2,13654,12,5,21,0.0878863336751135,0.0358150182399685,0.157415283600484,0.151961013645224,0.0282368377552693,0.369739933166249,14,15,18,18,326.933333333333,99.4946535813681,"non-primary","non-primary",661,3,0,7,0.453857791225416,0,1.0590015128593,9061,4,0,10,0.0441452378324688,0,0.108055884829044,0.0745305686571149,0,0.208018154311649,6,6,22,23,262.934947049924,99.9117095243351,"non-primary","non-primary"
"Lampichthys procerus ",750,1,0,3,0.133333333333333,0,0.4,13654,2,0,6,0.0146477222791856,0,0.0453965103017011,0.00459770114942529,0,0.0137931034482759,3,5,28,30,332.8,99.9926761388604,"non-primary","non-primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maurolicus muelleri",750,11,5,18,1.46666666666667,0.666666666666667,2.4,13654,12,5,20,0.0878863336751135,0.0374447881010993,0.150429399348401,0.158049051311508,0.0526638493674828,0.293898395661408,16,14,15,17,322.933333333333,99.406767247693,"non-primary","non-primary",661,1,0,3,0.151285930408472,0,0.453857791225416,9061,1,0,3,0.0110363094581172,0,0.0346263594131038,0.0094553706505295,0,0.0283661119515885,2,1,27,26,264.296520423601,99.9779273810838,"non-primary","non-primary"
"Metelectrona ventralis",750,171,150,195,22.8,20,26,13654,990,722.925,1333.125,7.25062252819686,5.28321764778427,9.46783621997169,5.78514350556832,4.78927012903792,6.90482963375944,26,27,6,5,270.933333333333,88.5454811776769,"primary","non-primary",661,78,62,94,11.8003025718608,9.37972768532526,14.2208774583964,9061,308,202,434,3.3991833131001,2.26877719418808,4.64785910652391,2.86507131630225,2.0450256583962,3.82626655791693,23,23,6,6,194.402420574887,88.2684030460214,"primary","non-primary"
