"prey","n.samples","fo.number","fo.number.LCL","fo.number.UCL","fo.percent","fo.percent.LCL","fo.percent.UCL","n.preyitems","na.number","na.number.LCL","na.number.UCL","na.percent","na.percent.LCL","na.percent.UCL","na.weighted","na.weighted.LCL","na.weighted.UCL","rank.fo","rank.na","rank.fo.inv","rank.na.inv","cum.fo","cum.na","fo.prim","na.prim"
"Penguin",386,46,33,57.525,11.9170984455959,8.54922279792746,14.9028497409326,5992,46,33,57.525,0.767690253671562,0.512871377811099,1.04863990461377,11.9170984455959,8.54922279792746,14.9028497409326,20,15,6,11,208.80829015544,97.413217623498,"non-primary","non-primary"
"Electrona subaspera",386,9,3,15,2.33160621761658,0.77720207253886,3.8860103626943,5992,33,7,66.525,0.550734312416555,0.112834588292067,1.13281076676931,0.76723022824375,0.190208686591222,1.61018369101587,11,14,15,12,263.471502590674,97.9639519359146,"non-primary","non-primary"
"Crustacean",386,27,18,38,6.99481865284974,4.66321243523316,9.84455958549223,5992,27,18,38,0.450600801068091,0.297712607544672,0.673700071083955,6.99481865284974,4.66321243523316,9.84455958549223,17,13,9,13,235.492227979275,98.4145527369826,"non-primary","non-primary"
"Cephalopod",386,19,11,29,4.92227979274611,2.84974093264249,7.51295336787565,5992,21,12,32,0.350467289719626,0.203121361745555,0.585963577501794,4.92227979274611,2.84974093264249,7.51295336787565,13,12,13,14,258.80829015544,98.7650200267023,"non-primary","non-primary"
"Notothenia squamifrons",386,2,0,5,0.518134715025907,0,1.29533678756477,5992,21,0,58.5749999999999,0.350467289719626,0,1.05296885289285,0.501943005181347,0,1.27914507772021,5,11,21,15,268.911917098446,99.1154873164219,"non-primary","non-primary"
"Gymnoscopelus sp.",386,9,4,15,2.33160621761658,1.03626943005181,3.8860103626943,5992,16,4,34,0.267022696929239,0.0687958329130922,0.593178103793815,0.803549675266667,0.207081261451906,1.69409004282597,12,10,14,16,261.139896373057,99.3825100133511,"non-primary","non-primary"
"Dissostichus eleginoides",386,6,1,12,1.55440414507772,0.259067357512953,3.10880829015544,5992,14,2,27,0.233644859813084,0.0398132162196572,0.453284000100968,0.160100585276402,0.0130163932251066,0.332558811632497,10,9,16,17,265.025906735751,99.6161548731642,"non-primary","non-primary"
"Scopelosaurus ahlstromi",386,3,1,7.52499999999998,0.77720207253886,0.259067357512953,1.94948186528497,5992,7,1,19,0.116822429906542,0.0152475186497407,0.31682741127496,0.0549444562661997,0.0060248222677431,0.1559123055072,8,8,18,18,267.098445595855,99.7329773030708,"non-primary","non-primary"
"Protomyctophum bolini",386,5,1,9,1.29533678756477,0.259067357512953,2.33160621761658,5992,6,1,12,0.100133511348465,0.0194449318169076,0.205715392989164,0.383887868740002,0.0201971553083562,0.994074256215852,9,7,17,19,266.321243523316,99.8331108144192,"non-primary","non-primary"
"Krefftichthys anderssoni",386,3,0,7,0.77720207253886,0,1.81347150259067,5992,3,0,7,0.0500667556742323,0,0.112503506621979,0.0565892081436123,0,0.142944993981263,7,6,19,20,267.875647668394,99.8831775700935,"non-primary","non-primary"
"Lepidonotothen larseni",386,1,0,3,0.259067357512953,0,0.77720207253886,5992,2,0,6,0.0333778371161549,0,0.106556848405985,0.259067357512953,0,0.77720207253886,1,4,22,21,269.170984455959,99.9165554072096,"non-primary","non-primary"
"Paralepis atlantica",386,2,0,5,0.518134715025907,0,1.29533678756477,5992,2,0,5,0.0333778371161549,0,0.0870935107820751,0.054691997697179,0,0.138169257340242,6,5,20,22,268.39378238342,99.9499332443258,"non-primary","non-primary"
"Maurolicus muelleri",386,1,0,3,0.259067357512953,0,0.77720207253886,5992,1,0,3,0.0166889185580774,0,0.0556296200771878,0.0161917098445596,0,0.0485751295336788,4,1,23,23,269.430051813471,99.9666221628838,"non-primary","non-primary"
